subject,columns__key,columns__full_name,columns__type,columns__is_objective,columns__goal,options__key,options__name,options__values__Intestinal_Absorption,options__values__BBB_Penetration,options__values__Non-carcinogenic,options__values__Rat_acute_toxicity,options__values__Not_hERG_inhibitor
,,,,,,59,Neodymium,0.998,0.890,0.865,2.248,0.268
,,,,,,60,Promethium,0.912,0.942,0.837,2.142,0.993
,,,,,,61,Samarium,0.839,0.537,0.838,2.272,0.767
,,,,,,62,Europium,0.867,0.508,0.934,1.898,0.742
,,,,,,63,Gadolinium,0.832,0.501,0.911,2.091,0.953
,,,,,,64,Terbium,0.840,0.688,0.863,3.255,0.790
,,,,,,65,Dysprosium,0.812,0.782,0.910,2.093,0.637
,,,,,,66,Holmium,0.986,0.951,0.863,3.461,0.440
,,,,,,67,Erbium,0.919,0.813,0.943,2.251,0.611
,,,,,,68,Thulium,0.904,0.540,0.737,2.611,0.324
,,,,,,69,Ytterbium,0.850,0.810,0.867,3.161,0.012
,,,,,,70,Lutetium,0.850,0.555,0.979,3.404,0.194
,,,,,,71,Hafnium,0.833,0.847,0.889,2.768,0.572
,,,,,,72,Tantalum,0.874,0.640,0.752,1.825,0.002
,,,,,,73,Tungsten,0.891,0.631,0.729,1.791,0.974
,,,,,,74,Rhenium,0.873,0.617,0.741,3.003,0.292
,,,,,,75,Osmium,0.829,0.721,0.949,2.729,0.339
,,,,,,76,Iridium,0.856,0.876,0.889,3.075,0.984
,,,,,,77,Platinum,0.835,0.940,0.903,2.177,0.620
,,,,,,78,Gold,0.993,0.648,0.927,2.366,0.526
,,,,,,79,Mercury,0.897,0.861,0.846,1.993,0.908
,,,,,,80,Thallium,0.969,0.848,0.825,2.787,0.575
,,,,,,81,Lead,0.871,0.922,0.937,1.564,0.253
,,,,,,82,Bismuth,0.989,0.844,0.764,2.181,0.147
,,,,,,83,Polonium,0.867,0.583,0.934,2.816,0.373
,,,,,,84,Astatine,0.924,0.750,0.720,1.595,0.444
,,,,,,85,Radon,0.938,0.774,0.826,2.653,0.907
,,,,,,86,Francium,0.976,0.541,0.946,2.669,0.783
,,,,,,87,Radium,0.982,0.864,0.712,2.936,0.849
,,,,,,88,Actinium,0.983,0.666,0.873,2.701,0.771
,,,,,,89,Thorium,0.925,0.532,0.735,2.074,0.007
,,,,,,90,Protactinium,0.996,0.763,0.750,2.773,0.213
,,,,,,91,Uranium,0.917,0.542,0.748,2.489,0.292
,,,,,,92,Neptunium,0.925,0.734,0.896,2.478,0.151
,,,,,,93,Plutonium,0.931,0.579,0.903,2.161,0.078
,,,,,,94,Americium,0.939,0.979,0.834,1.876,0.331
,,,,,,95,Curium,0.912,0.743,0.970,1.657,0.725
,,,,,,96,Berkelium,0.836,0.670,0.805,2.179,0.151
,,,,,,97,Californium,0.811,0.948,0.812,1.685,0.788
,,,,,,98,Einsteinium,0.852,0.892,0.925,1.885,0.344
,,,,,,99,Fermium,0.924,0.635,0.802,2.934,0.381
